commit	score	event_f1	pitch_acc_global	rhythm_acc_global	measure_validity	xml_parse_rate	status	description
roundtrip	0.9995	1.0000	1.0000	1.0000	0.9965	1.0000	keep	self-eval sanity check
1814813	0.1634	0.0202	0.1177	0.1177	0.0293	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=15
1df8c8d	0.1720	0.0140	0.1468	0.1468	0.0115	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=5
3d030b6	0.1797	0.0143	0.1591	0.1591	0.0257	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=5
7adf4e9	0.1588	0.0143	0.0902	0.0902	0.0927	1.0000	keep	CNN-Transformer baseline d=256 L=2 ep=26
7adf4e9	0.1690	0.0204	0.1318	0.1318	0.0237	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=2
7adf4e9	0.1722	0.0168	0.1407	0.1407	0.0258	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=6
7adf4e9	0.1716	0.0107	0.1399	0.1399	0.0366	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=5
7adf4e9	0.1943	0.0134	0.1779	0.1779	0.0679	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=6
45677ed	0.1564	0.0119	0.0965	0.0965	0.0629	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=15
45677ed	0.1732	0.0143	0.1402	0.1402	0.0387	1.0000	keep	CNN-Transformer baseline d=256 L=6 ep=10
45677ed	0.1608	0.0160	0.1175	0.1175	0.0209	1.0000	keep	CNN-Transformer baseline d=512 L=4 ep=11
45677ed	0.1684	0.0183	0.1335	0.1335	0.0187	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=6
a1b1dc0	0.1563	0.0226	0.1006	0.1006	0.0284	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=26
a1b1dc0	0.2210	0.0181	0.2476	0.2476	0.0279	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=6
0912834	0.1449	0.0218	0.0748	0.0748	0.0317	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=21
32a34a4	0.1642	0.0073	0.0485	0.0485	0.2677	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=5
32a34a4	0.1537	0.0176	0.0946	0.0946	0.0390	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=10
32a34a4	0.1761	0.0103	0.1464	0.1464	0.0478	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=15
32a34a4	0.1711	0.0156	0.1416	0.1416	0.0179	1.0000	keep	CNN-Transformer baseline d=256 L=4 ep=10
56e1b8772b	0.1481	0.0115	0.0772	0.0772	0.0663	1.0000	keep	PrIMuS pretrain 20000→FT d=256 L=4 ep=5
29358661f5	0.2344	0.0107	0.0631	0.0631	0.6857	1.0000	keep	PrIMuS pretrain 20000→FT d=256 L=4 ep=35
cc1cc6a946	0.4053	0.0557	0.4399	0.4399	0.6044	1.0000	keep	PrIMuS 87000 staff-assembly d=256 L=4 ep=35
9c204f481c	0.2453	0.0326	0.2574	0.2574	0.1312	1.0000	keep	PrIMuS pretrained ONLY (no FT) primus_pretrained.pt
5a1c064dcb	0.4113	0.0720	0.4548	0.4548	0.5671	1.0000	keep	Continue FT from 0.4053 with bar-line aligned labels
5a1c064dcb	0.3908	0.0693	0.3962	0.3962	0.6118	1.0000	keep	Beam search beam=5 ckpt=primus_finetuned_v2.pt
5a1c064dcb	0.3986	0.0639	0.4077	0.4077	0.6398	1.0000	keep	Beam search beam=3 ckpt=primus_finetuned_v2.pt
c9159c1b87	0.3936	0.0482	0.4461	0.4461	0.5227	1.0000	keep	V3: longer FT from v2 with new alignment
c9159c1b87	0.3987	0.0410	0.4735	0.4735	0.4890	1.0000	keep	V4: lower LR, more frequent eval, from 0.4053 best
87e585fef7	0.4047	0.0589	0.4460	0.4460	0.5756	1.0000	keep	PrIMuS 87000 staff-assembly d=256 L=4 ep=75
87e585fef7	0.4026	0.0703	0.4314	0.4314	0.5826	1.0000	keep	V5: very low LR continuation
a8afd78a2a	0.4053	0.0443	0.4782	0.4782	0.5124	1.0000	keep	TTA n=3 ckpt=primus_finetuned_v2.pt
a8afd78a2a	0.4075	0.0732	0.4595	0.4595	0.5253	1.0000	keep	TTA n=5 ckpt=primus_finetuned_v2.pt
16aca78c25	0.4055	0.0407	0.4793	0.4793	0.5174	1.0000	keep	TTA n=5 ckpt=primus_finetuned_v4.pt
52c07c4bde	0.4108	0.0522	0.4551	0.4551	0.6024	1.0000	keep	V6: bigger batch, higher LR
5cd8156e9a	0.3959	0.0539	0.4388	0.4388	0.5484	1.0000	keep	V7: label smoothing 0.1
3d676971ab	0.4117	0.0462	0.4849	0.4849	0.5310	1.0000	keep	V8: continue from v4 (high pitch) with tiny LR
fc413eb5b7	0.4123	0.0484	0.4839	0.4839	0.5333	1.0000	keep	TTA n=5 ckpt=primus_finetuned_v8.pt
8376ce58e9	0.4153	0.0565	0.4778	0.4778	0.5557	1.0000	keep	V9: continue from v8 with 5e-6 LR
413064535d	0.4146	0.0529	0.4783	0.4783	0.5564	1.0000	keep	V10: continue from v9 with 3e-6 LR
643411c0fa	0.4085	0.0463	0.4788	0.4788	0.5278	1.0000	keep	TTA n=5 ckpt=primus_finetuned_v9.pt
